Clause Number,Clause Title,Status,Impact,Key Points,Remarks
1,Scope,Covered,High,"Business consultancy and technical services to Party A and its subsidiaries
Research, development, production, test, operation, and maintenance of relevant technology
Development of internet platforms and systems
Design of tour products
Consultancy services related to the sale and promotion of tour products",The scope of the agreement is comprehensive and covers various aspects of business consultancy and technical services.
2,Duration,Covered,High,"Commencement from the execution date
End on the expiration date of the operation term of Party B
Termination under certain circumstances","The duration of the agreement is clearly defined, with specific conditions for termination."
3,Deliverables,Partially Covered,Medium,"Service fee (Service Fee) from Party A or its subsidiaries
Profits gained by Party A or its subsidiaries
Research, development, production, test, operation, and maintenance of relevant technology
Development of internet platforms and systems
Design of tour products
Consultancy services related to the sale and promotion of tour products","The deliverables are partially covered, with specific mention of the service fee and profits gained by Party A or its subsidiaries. However, the deliverables are not explicitly listed."
4,Location / Geographical Scope,Not Covered,Low,,The location and geographical scope of the agreement are not specified.
5,Timelines,Partially Covered,Medium,"Commencement from the execution date
End on the expiration date of the operation term of Party B
Termination under certain circumstances","The timelines are partially covered, with specific conditions for termination. However, the specific timelines for the delivery of services are not mentioned."
6,Technical Architecture,Not Covered,Low,,The technical architecture of the agreement is not specified.
7,Scope Assumptions and Exclusions,Partially Covered,Medium,"Exclusive cooperation between Party A and Party B
No establishment of same or similar cooperative relationship with any third party without prior written consent from Party B","The scope assumptions and exclusions are partially covered, with specific mention of the exclusive cooperation and the prohibition of establishing similar relationships with third parties."
8,Service Level Agreements (SLAs),Not Covered,Low,,The Service Level Agreements (SLAs) are not specified in the contract.
9,"Project Structure, Roles and Responsibilities",Partially Covered,Medium,"Obligations of each party to execute and perform the agreement
Representations and warranties of each party
Responsibility for and hold the other party harmless from any loss, damages, and claim arising out of violation of any representations and warranties","The project structure, roles, and responsibilities are partially covered, with specific mention of the obligations and representations of each party."
10,Handling Changes to Baseline,Not Covered,Low,,The handling of changes to the baseline is not specified.
11,Commercial Model,Covered,High,"Service fee (Service Fee) from Party A or its subsidiaries
Profits gained by Party A or its subsidiaries","The commercial model is clearly defined, with specific mention of the service fee and profits gained by Party A or its subsidiaries."
12,Billing Model,Covered,High,"Service fee (Service Fee) from Party A or its subsidiaries
Profits gained by Party A or its subsidiaries","The billing model is clearly defined, with specific mention of the service fee and profits gained by Party A or its subsidiaries."
13,Overhead Expenses,Not Covered,Low,,The overhead expenses are not specified.
14,Incentives / Disincentives,Not Covered,Low,,The incentives and disincentives are not specified.
15,Procurement and Licensing Model,Not Covered,Low,,The procurement and licensing model is not specified.
16,Operations Model,Partially Covered,Medium,"Research, development, production, test, operation, and maintenance of relevant technology
Development of internet platforms and systems
Design of tour products
Consultancy services related to the sale and promotion of tour products","The operations model is partially covered, with specific mention of the research, development, production, test, operation, and maintenance of relevant technology."
17,Acceptance Criteria,Not Covered,Low,,The acceptance criteria are not specified.
18,Performance Criteria,Not Covered,Low,,The performance criteria are not specified.
19,Discretionary Hours / Development Effort,Not Covered,Low,,The discretionary hours and development effort are not specified.
20,Minimum Skill Set,Not Covered,Low,,The minimum skill set is not specified.
21,Resource Deployment / Replacement Guidelines,Not Covered,Low,,The resource deployment and replacement guidelines are not specified.
22,Subcontracting / Consortium Guidelines,Not Covered,Low,,The subcontracting and consortium guidelines are not specified.
23,Handholding Support (Post Go-Live),Not Covered,Low,,The handholding support is not specified.
24,Ongoing Operations Support,Partially Covered,Medium,"Research, development, production, test, operation, and maintenance of relevant technology
Development of internet platforms and systems
Design of tour products
Consultancy services related to the sale and promotion of tour products","The ongoing operations support is partially covered, with specific mention of the research, development, production, test, operation, and maintenance of relevant technology."
25,Technical SOPs and Training to Ops Team,Not Covered,Low,,The technical SOPs and training to the ops team are not specified.
26,Training and Awareness of End Users,Not Covered,Low,,The training and awareness of end users are not specified.
27,Intellectual Property and Source Code Ownership,Not Covered,Low,,The intellectual property and source code ownership are not specified.
28,Requirements / Support from Client,Not Covered,Low,,The requirements and support from the client are not specified.
29,Governance and Reporting,Partially Covered,Medium,"Governing law: laws of the People's Republic of China
Dispute resolution: friendly negotiation and arbitration by China International Economic and Trade Commission","The governance and reporting are partially covered, with specific mention of the governing law and dispute resolution."
30,Contract Exit Mechanism,Covered,High,"Termination under certain circumstances
Prior written consent from Party B for termination","The contract exit mechanism is clearly defined, with specific conditions for termination."
31,Payment Terms,Covered,High,"Service fee (Service Fee) from Party A or its subsidiaries
Profits gained by Party A or its subsidiaries","The payment terms are clearly defined, with specific mention of the service fee and profits gained by Party A or its subsidiaries."
32,Non-Functional Requirements,Not Covered,Low,,The non-functional requirements are not specified.
